DateRange,INVertor Power (MW),SoC
08.10.2024 05:45 - 08.10.2024 06:00,-23.75,50
08.10.2024 06:00 - 08.10.2024 06:15,-23.75,43.75
08.10.2024 06:15 - 08.10.2024 06:30,-23.75,37.5
08.10.2024 06:30 - 08.10.2024 06:45,-23.75,31.25
08.10.2024 06:45 - 08.10.2024 07:00,-23.75,25
08.10.2024 07:00 - 08.10.2024 07:15,-23.75,18.75
08.10.2024 07:15 - 08.10.2024 07:30,-23.75,12.5
08.10.2024 07:30 - 08.10.2024 07:45,-23.75,6.25
08.10.2024 07:45 - 08.10.2024 08:00,-23.75,0
08.10.2024 08:00 - 08.10.2024 08:15,0,0
08.10.2024 08:15 - 08.10.2024 08:30,0,0
08.10.2024 08:30 - 08.10.2024 08:45,0,0
08.10.2024 08:45 - 08.10.2024 09:00,0,0
08.10.2024 09:00 - 08.10.2024 09:15,25,5.94
08.10.2024 09:15 - 08.10.2024 09:30,25,11.87
08.10.2024 09:30 - 08.10.2024 09:45,25,17.81
08.10.2024 09:45 - 08.10.2024 10:00,25,23.75
08.10.2024 10:00 - 08.10.2024 10:15,25,29.69
08.10.2024 10:15 - 08.10.2024 10:30,25,35.62
08.10.2024 10:30 - 08.10.2024 10:45,25,41.56
08.10.2024 10:45 - 08.10.2024 11:00,25,47.5
08.10.2024 11:00 - 08.10.2024 11:15,0,47.5
08.10.2024 11:15 - 08.10.2024 11:30,0,47.5
08.10.2024 11:30 - 08.10.2024 11:45,0,47.5
08.10.2024 11:45 - 08.10.2024 12:00,0,47.5
08.10.2024 12:00 - 08.10.2024 12:15,25,53.44
08.10.2024 12:15 - 08.10.2024 12:30,25,59.37
08.10.2024 12:30 - 08.10.2024 12:45,25,65.31
08.10.2024 12:45 - 08.10.2024 13:00,25,71.25
08.10.2024 13:00 - 08.10.2024 13:15,25,77.19
08.10.2024 13:15 - 08.10.2024 13:30,25,83.12
08.10.2024 13:30 - 08.10.2024 13:45,25,89.06
08.10.2024 13:45 - 08.10.2024 14:00,25,95
08.10.2024 14:00 - 08.10.2024 14:15,5.26,96.25
08.10.2024 14:15 - 08.10.2024 14:30,5.26,97.5
08.10.2024 14:30 - 08.10.2024 14:45,5.26,98.75
08.10.2024 14:45 - 08.10.2024 15:00,5.26,100
08.10.2024 15:00 - 08.10.2024 15:15,0,100
08.10.2024 15:15 - 08.10.2024 15:30,0,100
08.10.2024 15:30 - 08.10.2024 15:45,0,100
08.10.2024 15:45 - 08.10.2024 16:00,0,100
08.10.2024 16:00 - 08.10.2024 16:15,-23.75,93.75
08.10.2024 16:15 - 08.10.2024 16:30,-23.75,87.5
08.10.2024 16:30 - 08.10.2024 16:45,-23.75,81.25
08.10.2024 16:45 - 08.10.2024 17:00,-23.75,75
08.10.2024 17:00 - 08.10.2024 17:15,-23.75,68.75
08.10.2024 17:15 - 08.10.2024 17:30,-23.75,62.5
08.10.2024 17:30 - 08.10.2024 17:45,-23.75,56.25
08.10.2024 17:45 - 08.10.2024 18:00,-23.75,50
08.10.2024 18:00 - 08.10.2024 18:15,-23.75,43.75
08.10.2024 18:15 - 08.10.2024 18:30,-23.75,37.5
08.10.2024 18:30 - 08.10.2024 18:45,-23.75,31.25
08.10.2024 18:45 - 08.10.2024 19:00,-23.75,25
08.10.2024 19:00 - 08.10.2024 19:15,0,25
08.10.2024 19:15 - 08.10.2024 19:30,0,25
08.10.2024 19:30 - 08.10.2024 19:45,0,25
08.10.2024 19:45 - 08.10.2024 20:00,0,25
08.10.2024 20:00 - 08.10.2024 20:15,-23.75,18.75
08.10.2024 20:15 - 08.10.2024 20:30,-23.75,12.5
08.10.2024 20:30 - 08.10.2024 20:45,-23.75,6.25
08.10.2024 20:45 - 08.10.2024 21:00,-23.75,0
08.10.2024 21:00 - 08.10.2024 21:15,0,0
08.10.2024 21:15 - 08.10.2024 21:30,0,0
08.10.2024 21:30 - 08.10.2024 21:45,0,0
08.10.2024 21:45 - 08.10.2024 22:00,0,0
08.10.2024 22:00 - 08.10.2024 22:15,0,0
08.10.2024 22:15 - 08.10.2024 22:30,0,0
08.10.2024 22:30 - 08.10.2024 22:45,0,0
08.10.2024 22:45 - 08.10.2024 23:00,0,0
08.10.2024 23:00 - 08.10.2024 23:15,0,0
08.10.2024 23:15 - 08.10.2024 23:30,0,0
08.10.2024 23:30 - 08.10.2024 23:45,0,0
08.10.2024 23:45 - 09.10.2024 00:00,0,23.75
09.10.2024 00:00 - 09.10.2024 00:15,25,29.69
09.10.2024 00:15 - 09.10.2024 00:30,25,35.62
09.10.2024 00:30 - 09.10.2024 00:45,25,41.56
09.10.2024 00:45 - 09.10.2024 01:00,25,47.5
09.10.2024 01:00 - 09.10.2024 01:15,0,47.5
09.10.2024 01:15 - 09.10.2024 01:30,0,47.5
09.10.2024 01:30 - 09.10.2024 01:45,0,47.5
09.10.2024 01:45 - 09.10.2024 02:00,0,47.5
09.10.2024 02:00 - 09.10.2024 02:15,25,53.44
09.10.2024 02:15 - 09.10.2024 02:30,25,59.37
09.10.2024 02:30 - 09.10.2024 02:45,25,65.31
09.10.2024 02:45 - 09.10.2024 03:00,25,71.25
09.10.2024 03:00 - 09.10.2024 03:15,3.95,72.19
09.10.2024 03:15 - 09.10.2024 03:30,3.95,73.12
09.10.2024 03:30 - 09.10.2024 03:45,3.95,74.06
09.10.2024 03:45 - 09.10.2024 04:00,3.95,75
09.10.2024 04:00 - 09.10.2024 04:15,0,75
09.10.2024 04:15 - 09.10.2024 04:30,0,75
09.10.2024 04:30 - 09.10.2024 04:45,0,75
09.10.2024 04:45 - 09.10.2024 05:00,0,75
09.10.2024 05:00 - 09.10.2024 05:15,-23.75,68.75
09.10.2024 05:15 - 09.10.2024 05:30,-23.75,62.5
09.10.2024 05:30 - 09.10.2024 05:45,-23.75,56.25
09.10.2024 05:45 - 09.10.2024 06:00,-23.75,50
09.10.2024 06:00 - 09.10.2024 06:15,-23.75,43.75
09.10.2024 06:15 - 09.10.2024 06:30,-23.75,37.5
09.10.2024 06:30 - 09.10.2024 06:45,-23.75,31.25
09.10.2024 06:45 - 09.10.2024 07:00,-23.75,25
09.10.2024 07:00 - 09.10.2024 07:15,-23.75,18.75
09.10.2024 07:15 - 09.10.2024 07:30,-23.75,12.5
09.10.2024 07:30 - 09.10.2024 07:45,-23.75,6.25
09.10.2024 07:45 - 09.10.2024 08:00,-23.75,0
09.10.2024 08:00 - 09.10.2024 08:15,0,0
09.10.2024 08:15 - 09.10.2024 08:30,0,0
09.10.2024 08:30 - 09.10.2024 08:45,0,0
09.10.2024 08:45 - 09.10.2024 09:00,0,0
09.10.2024 09:00 - 09.10.2024 09:15,25,5.94
09.10.2024 09:15 - 09.10.2024 09:30,25,11.87
09.10.2024 09:30 - 09.10.2024 09:45,25,17.81
09.10.2024 09:45 - 09.10.2024 10:00,25,23.75
09.10.2024 10:00 - 09.10.2024 10:15,25,29.69
09.10.2024 10:15 - 09.10.2024 10:30,25,35.62
09.10.2024 10:30 - 09.10.2024 10:45,25,41.56
09.10.2024 10:45 - 09.10.2024 11:00,25,47.5
09.10.2024 11:00 - 09.10.2024 11:15,0,47.5
09.10.2024 11:15 - 09.10.2024 11:30,0,47.5
09.10.2024 11:30 - 09.10.2024 11:45,0,47.5
09.10.2024 11:45 - 09.10.2024 12:00,0,47.5
09.10.2024 12:00 - 09.10.2024 12:15,25,53.44
09.10.2024 12:15 - 09.10.2024 12:30,25,59.37
09.10.2024 12:30 - 09.10.2024 12:45,25,65.31
09.10.2024 12:45 - 09.10.2024 13:00,25,71.25
09.10.2024 13:00 - 09.10.2024 13:15,25,77.19
09.10.2024 13:15 - 09.10.2024 13:30,25,83.12
09.10.2024 13:30 - 09.10.2024 13:45,25,89.06
09.10.2024 13:45 - 09.10.2024 14:00,25,95
09.10.2024 14:00 - 09.10.2024 14:15,5.26,96.25
09.10.2024 14:15 - 09.10.2024 14:30,5.26,97.5
09.10.2024 14:30 - 09.10.2024 14:45,5.26,98.75
09.10.2024 14:45 - 09.10.2024 15:00,5.26,100
09.10.2024 15:00 - 09.10.2024 15:15,0,100
09.10.2024 15:15 - 09.10.2024 15:30,0,100
09.10.2024 15:30 - 09.10.2024 15:45,0,100
09.10.2024 15:45 - 09.10.2024 16:00,0,100
09.10.2024 16:00 - 09.10.2024 16:15,-23.75,93.75
09.10.2024 16:15 - 09.10.2024 16:30,-23.75,87.5
09.10.2024 16:30 - 09.10.2024 16:45,-23.75,81.25
09.10.2024 16:45 - 09.10.2024 17:00,-23.75,75
09.10.2024 17:00 - 09.10.2024 17:15,-23.75,68.75
09.10.2024 17:15 - 09.10.2024 17:30,-23.75,62.5
09.10.2024 17:30 - 09.10.2024 17:45,-23.75,56.25
09.10.2024 17:45 - 09.10.2024 18:00,-23.75,50
09.10.2024 18:00 - 09.10.2024 18:15,-23.75,43.75
09.10.2024 18:15 - 09.10.2024 18:30,-23.75,37.5
09.10.2024 18:30 - 09.10.2024 18:45,-23.75,31.25
09.10.2024 18:45 - 09.10.2024 19:00,-23.75,25
09.10.2024 19:00 - 09.10.2024 19:15,0,25
09.10.2024 19:15 - 09.10.2024 19:30,0,25
09.10.2024 19:30 - 09.10.2024 19:45,0,25
09.10.2024 19:45 - 09.10.2024 20:00,0,25
09.10.2024 20:00 - 09.10.2024 20:15,-23.75,18.75
09.10.2024 20:15 - 09.10.2024 20:30,-23.75,12.5
09.10.2024 20:30 - 09.10.2024 20:45,-23.75,6.25
09.10.2024 20:45 - 09.10.2024 21:00,-23.75,0
09.10.2024 21:00 - 09.10.2024 21:15,0,0
09.10.2024 21:15 - 09.10.2024 21:30,0,0
09.10.2024 21:30 - 09.10.2024 21:45,0,0
09.10.2024 21:45 - 09.10.2024 22:00,0,0
09.10.2024 22:00 - 09.10.2024 22:15,0,0
09.10.2024 22:15 - 09.10.2024 22:30,0,0
09.10.2024 22:30 - 09.10.2024 22:45,0,0
09.10.2024 22:45 - 09.10.2024 23:00,0,0
09.10.2024 23:00 - 09.10.2024 23:15,0,0
09.10.2024 23:15 - 09.10.2024 23:30,0,0
09.10.2024 23:30 - 09.10.2024 23:45,0,0
