DateRange,INVertor Power (MW),SoC
04.10.2024 13:00 - 04.10.2024 13:15,25,77.19
04.10.2024 13:15 - 04.10.2024 13:30,25,83.12
04.10.2024 13:30 - 04.10.2024 13:45,25,89.06
04.10.2024 13:45 - 04.10.2024 14:00,25,95
04.10.2024 14:00 - 04.10.2024 14:15,5.26,96.25
04.10.2024 14:15 - 04.10.2024 14:30,5.26,97.5
04.10.2024 14:30 - 04.10.2024 14:45,5.26,98.75
04.10.2024 14:45 - 04.10.2024 15:00,5.26,100
04.10.2024 15:00 - 04.10.2024 15:15,0,100
04.10.2024 15:15 - 04.10.2024 15:30,0,100
04.10.2024 15:30 - 04.10.2024 15:45,0,100
04.10.2024 15:45 - 04.10.2024 16:00,0,100
04.10.2024 16:00 - 04.10.2024 16:15,-23.75,93.75
04.10.2024 16:15 - 04.10.2024 16:30,-23.75,87.5
04.10.2024 16:30 - 04.10.2024 16:45,-23.75,81.25
04.10.2024 16:45 - 04.10.2024 17:00,-23.75,75
04.10.2024 17:00 - 04.10.2024 17:15,-23.75,68.75
04.10.2024 17:15 - 04.10.2024 17:30,-23.75,62.5
04.10.2024 17:30 - 04.10.2024 17:45,-23.75,56.25
04.10.2024 17:45 - 04.10.2024 18:00,-23.75,50
04.10.2024 18:00 - 04.10.2024 18:15,-23.75,43.75
04.10.2024 18:15 - 04.10.2024 18:30,-23.75,37.5
04.10.2024 18:30 - 04.10.2024 18:45,-23.75,31.25
04.10.2024 18:45 - 04.10.2024 19:00,-23.75,25
04.10.2024 19:00 - 04.10.2024 19:15,0,25
04.10.2024 19:15 - 04.10.2024 19:30,0,25
04.10.2024 19:30 - 04.10.2024 19:45,0,25
04.10.2024 19:45 - 04.10.2024 20:00,0,25
04.10.2024 20:00 - 04.10.2024 20:15,-23.75,18.75
04.10.2024 20:15 - 04.10.2024 20:30,-23.75,12.5
04.10.2024 20:30 - 04.10.2024 20:45,-23.75,6.25
04.10.2024 20:45 - 04.10.2024 21:00,-23.75,0
04.10.2024 21:00 - 04.10.2024 21:15,0,0
04.10.2024 21:15 - 04.10.2024 21:30,0,0
04.10.2024 21:30 - 04.10.2024 21:45,0,0
04.10.2024 21:45 - 04.10.2024 22:00,0,0
04.10.2024 22:00 - 04.10.2024 22:15,0,0
04.10.2024 22:15 - 04.10.2024 22:30,0,0
04.10.2024 22:30 - 04.10.2024 22:45,0,0
04.10.2024 22:45 - 04.10.2024 23:00,0,0
04.10.2024 23:00 - 04.10.2024 23:15,0,0
04.10.2024 23:15 - 04.10.2024 23:30,0,0
04.10.2024 23:30 - 04.10.2024 23:45,0,0
04.10.2024 23:45 - 05.10.2024 00:00,0,23.75
05.10.2024 00:00 - 05.10.2024 00:15,25,29.69
05.10.2024 00:15 - 05.10.2024 00:30,25,35.62
05.10.2024 00:30 - 05.10.2024 00:45,25,41.56
05.10.2024 00:45 - 05.10.2024 01:00,25,47.5
05.10.2024 01:00 - 05.10.2024 01:15,0,47.5
05.10.2024 01:15 - 05.10.2024 01:30,0,47.5
05.10.2024 01:30 - 05.10.2024 01:45,0,47.5
05.10.2024 01:45 - 05.10.2024 02:00,0,47.5
05.10.2024 02:00 - 05.10.2024 02:15,25,53.44
05.10.2024 02:15 - 05.10.2024 02:30,25,59.37
05.10.2024 02:30 - 05.10.2024 02:45,25,65.31
05.10.2024 02:45 - 05.10.2024 03:00,25,71.25
05.10.2024 03:00 - 05.10.2024 03:15,3.95,72.19
05.10.2024 03:15 - 05.10.2024 03:30,3.95,73.12
05.10.2024 03:30 - 05.10.2024 03:45,3.95,74.06
05.10.2024 03:45 - 05.10.2024 04:00,3.95,75
05.10.2024 04:00 - 05.10.2024 04:15,0,75
05.10.2024 04:15 - 05.10.2024 04:30,0,75
05.10.2024 04:30 - 05.10.2024 04:45,0,75
05.10.2024 04:45 - 05.10.2024 05:00,0,75
05.10.2024 05:00 - 05.10.2024 05:15,-23.75,68.75
05.10.2024 05:15 - 05.10.2024 05:30,-23.75,62.5
05.10.2024 05:30 - 05.10.2024 05:45,-23.75,56.25
05.10.2024 05:45 - 05.10.2024 06:00,-23.75,50
05.10.2024 06:00 - 05.10.2024 06:15,-23.75,43.75
05.10.2024 06:15 - 05.10.2024 06:30,-23.75,37.5
05.10.2024 06:30 - 05.10.2024 06:45,-23.75,31.25
05.10.2024 06:45 - 05.10.2024 07:00,-23.75,25
05.10.2024 07:00 - 05.10.2024 07:15,-23.75,18.75
05.10.2024 07:15 - 05.10.2024 07:30,-23.75,12.5
05.10.2024 07:30 - 05.10.2024 07:45,-23.75,6.25
05.10.2024 07:45 - 05.10.2024 08:00,-23.75,0
05.10.2024 08:00 - 05.10.2024 08:15,0,0
05.10.2024 08:15 - 05.10.2024 08:30,0,0
