DateRange,INVertor Power (MW),SoC
02.01.2024 00:45 - 02.01.2024 01:00,0.00,100.00
02.01.2024 01:00 - 02.01.2024 01:15,0.00,100.00
02.01.2024 01:15 - 02.01.2024 01:30,0.00,100.00
02.01.2024 01:30 - 02.01.2024 01:45,0.00,100.00
02.01.2024 01:45 - 02.01.2024 02:00,0.00,100.00
02.01.2024 02:00 - 02.01.2024 02:15,0.00,100.00
02.01.2024 02:15 - 02.01.2024 02:30,0.00,100.00
02.01.2024 02:30 - 02.01.2024 02:45,0.00,100.00
02.01.2024 02:45 - 02.01.2024 03:00,0.00,100.00
02.01.2024 03:00 - 02.01.2024 03:15,0.00,100.00
02.01.2024 03:15 - 02.01.2024 03:30,0.00,100.00
02.01.2024 03:30 - 02.01.2024 03:45,0.00,100.00
02.01.2024 03:45 - 02.01.2024 04:00,0.00,100.00
02.01.2024 04:00 - 02.01.2024 04:15,0.00,100.00
02.01.2024 04:15 - 02.01.2024 04:30,0.00,100.00
02.01.2024 04:30 - 02.01.2024 04:45,0.00,100.00
02.01.2024 04:45 - 02.01.2024 05:00,0.00,100.00
02.01.2024 05:00 - 02.01.2024 05:15,0.00,100.00
02.01.2024 05:15 - 02.01.2024 05:30,0.00,100.00
02.01.2024 05:30 - 02.01.2024 05:45,0.00,100.00
02.01.2024 05:45 - 02.01.2024 06:00,0.00,100.00
02.01.2024 06:00 - 02.01.2024 06:15,0.00,100.00
02.01.2024 06:15 - 02.01.2024 06:30,0.00,100.00
02.01.2024 06:30 - 02.01.2024 06:45,0.00,100.00
02.01.2024 06:45 - 02.01.2024 07:00,0.00,100.00
02.01.2024 07:00 - 02.01.2024 07:15,-23.75,93.75
02.01.2024 07:15 - 02.01.2024 07:30,-23.75,87.50
02.01.2024 07:30 - 02.01.2024 07:45,-23.75,81.25
02.01.2024 07:45 - 02.01.2024 08:00,-23.75,75.00
02.01.2024 08:00 - 02.01.2024 08:15,0.00,75.00
02.01.2024 08:15 - 02.01.2024 08:30,0.00,75.00
02.01.2024 08:30 - 02.01.2024 08:45,0.00,75.00
02.01.2024 08:45 - 02.01.2024 09:00,0.00,75.00
02.01.2024 09:00 - 02.01.2024 09:15,0.00,75.00
02.01.2024 09:15 - 02.01.2024 09:30,0.00,75.00
02.01.2024 09:30 - 02.01.2024 09:45,0.00,75.00
02.01.2024 09:45 - 02.01.2024 10:00,0.00,75.00
02.01.2024 10:00 - 02.01.2024 10:15,0.00,75.00
02.01.2024 10:15 - 02.01.2024 10:30,0.00,75.00
02.01.2024 10:30 - 02.01.2024 10:45,0.00,75.00
02.01.2024 10:45 - 02.01.2024 11:00,0.00,75.00
02.01.2024 11:00 - 02.01.2024 11:15,0.00,75.00
02.01.2024 11:15 - 02.01.2024 11:30,0.00,75.00
02.01.2024 11:30 - 02.01.2024 11:45,0.00,75.00
02.01.2024 11:45 - 02.01.2024 12:00,0.00,75.00
02.01.2024 12:00 - 02.01.2024 12:15,0.00,75.00
02.01.2024 12:15 - 02.01.2024 12:30,0.00,75.00
02.01.2024 12:30 - 02.01.2024 12:45,0.00,75.00
02.01.2024 12:45 - 02.01.2024 13:00,0.00,75.00
02.01.2024 13:00 - 02.01.2024 13:15,0.00,75.00
02.01.2024 13:15 - 02.01.2024 13:30,0.00,75.00
02.01.2024 13:30 - 02.01.2024 13:45,0.00,75.00
02.01.2024 13:45 - 02.01.2024 14:00,0.00,75.00
02.01.2024 14:00 - 02.01.2024 14:15,0.00,75.00
02.01.2024 14:15 - 02.01.2024 14:30,0.00,75.00
02.01.2024 14:30 - 02.01.2024 14:45,0.00,75.00
02.01.2024 14:45 - 02.01.2024 15:00,0.00,75.00
02.01.2024 15:00 - 02.01.2024 15:15,-23.75,68.75
02.01.2024 15:15 - 02.01.2024 15:30,-23.75,62.50
02.01.2024 15:30 - 02.01.2024 15:45,-23.75,56.25
02.01.2024 15:45 - 02.01.2024 16:00,-23.75,50.00
02.01.2024 16:00 - 02.01.2024 16:15,-23.75,43.75
02.01.2024 16:15 - 02.01.2024 16:30,-23.75,37.50
02.01.2024 16:30 - 02.01.2024 16:45,-23.75,31.25
02.01.2024 16:45 - 02.01.2024 17:00,-23.75,25.00
02.01.2024 17:00 - 02.01.2024 17:15,-23.75,18.75
02.01.2024 17:15 - 02.01.2024 17:30,-23.75,12.50
02.01.2024 17:30 - 02.01.2024 17:45,-23.75,6.25
02.01.2024 17:45 - 02.01.2024 18:00,-23.75,0.00
02.01.2024 18:00 - 02.01.2024 18:15,0.00,0.00
02.01.2024 18:15 - 02.01.2024 18:30,0.00,0.00
02.01.2024 18:30 - 02.01.2024 18:45,0.00,0.00
02.01.2024 18:45 - 02.01.2024 19:00,0.00,0.00
02.01.2024 19:00 - 02.01.2024 19:15,0.00,0.00
02.01.2024 19:15 - 02.01.2024 19:30,0.00,0.00
02.01.2024 19:30 - 02.01.2024 19:45,0.00,0.00
02.01.2024 19:45 - 02.01.2024 20:00,0.00,0.00
02.01.2024 20:00 - 02.01.2024 20:15,0.00,0.00
02.01.2024 20:15 - 02.01.2024 20:30,0.00,0.00
02.01.2024 20:30 - 02.01.2024 20:45,0.00,0.00
02.01.2024 20:45 - 02.01.2024 21:00,0.00,0.00
02.01.2024 21:00 - 02.01.2024 21:15,0.00,0.00
02.01.2024 21:15 - 02.01.2024 21:30,0.00,0.00
02.01.2024 21:30 - 02.01.2024 21:45,0.00,0.00
02.01.2024 21:45 - 02.01.2024 22:00,0.00,0.00
02.01.2024 22:00 - 02.01.2024 22:15,0.00,0.00
02.01.2024 22:15 - 02.01.2024 22:30,0.00,0.00
02.01.2024 22:30 - 02.01.2024 22:45,0.00,0.00
02.01.2024 22:45 - 02.01.2024 23:00,0.00,0.00
02.01.2024 23:00 - 02.01.2024 23:15,0.00,0.00
02.01.2024 23:15 - 02.01.2024 23:30,0.00,0.00
02.01.2024 23:30 - 02.01.2024 23:45,0.00,0.00
02.01.2024 23:45 - 03.01.2024 00:00,0.00,0.00
03.01.2024 00:00 - 03.01.2024 00:15,0.00,0.00
03.01.2024 00:15 - 03.01.2024 00:30,0.00,0.00
03.01.2024 00:30 - 03.01.2024 00:45,0.00,0.00
03.01.2024 00:45 - 03.01.2024 01:00,0.00,0.00
03.01.2024 01:00 - 03.01.2024 01:15,25.00,5.94
03.01.2024 01:15 - 03.01.2024 01:30,25.00,11.88
03.01.2024 01:30 - 03.01.2024 01:45,25.00,17.81
03.01.2024 01:45 - 03.01.2024 02:00,25.00,23.75
03.01.2024 02:00 - 03.01.2024 02:15,25.00,29.69
03.01.2024 02:15 - 03.01.2024 02:30,25.00,35.63
03.01.2024 02:30 - 03.01.2024 02:45,25.00,41.56
03.01.2024 02:45 - 03.01.2024 03:00,25.00,47.50
03.01.2024 03:00 - 03.01.2024 03:15,25.00,53.44
03.01.2024 03:15 - 03.01.2024 03:30,25.00,59.38
03.01.2024 03:30 - 03.01.2024 03:45,25.00,65.31
03.01.2024 03:45 - 03.01.2024 04:00,25.00,71.25
03.01.2024 04:00 - 03.01.2024 04:15,25.00,77.19
03.01.2024 04:15 - 03.01.2024 04:30,25.00,83.13
03.01.2024 04:30 - 03.01.2024 04:45,25.00,89.06
03.01.2024 04:45 - 03.01.2024 05:00,25.00,95.00
03.01.2024 05:00 - 03.01.2024 05:15,5.26,96.25
03.01.2024 05:15 - 03.01.2024 05:30,5.26,97.50
03.01.2024 05:30 - 03.01.2024 05:45,5.26,98.75
