DateRange,INVertor Power (MW),SoC
17.03.2024 13:45 - 17.03.2024 14:00,0.00,76.25
17.03.2024 14:00 - 17.03.2024 14:15,25.00,82.19
17.03.2024 14:15 - 17.03.2024 14:30,25.00,88.12
17.03.2024 14:30 - 17.03.2024 14:45,25.00,94.06
17.03.2024 14:45 - 17.03.2024 15:00,25.00,100.00
17.03.2024 15:00 - 17.03.2024 15:15,0.00,100.00
17.03.2024 15:15 - 17.03.2024 15:30,0.00,100.00
17.03.2024 15:30 - 17.03.2024 15:45,0.00,100.00
17.03.2024 15:45 - 17.03.2024 16:00,0.00,100.00
17.03.2024 16:00 - 17.03.2024 16:15,0.00,100.00
17.03.2024 16:15 - 17.03.2024 16:30,0.00,100.00
17.03.2024 16:30 - 17.03.2024 16:45,0.00,100.00
17.03.2024 16:45 - 17.03.2024 17:00,0.00,100.00
17.03.2024 17:00 - 17.03.2024 17:15,0.00,100.00
17.03.2024 17:15 - 17.03.2024 17:30,0.00,100.00
17.03.2024 17:30 - 17.03.2024 17:45,0.00,100.00
17.03.2024 17:45 - 17.03.2024 18:00,0.00,100.00
17.03.2024 18:00 - 17.03.2024 18:15,-23.75,93.75
17.03.2024 18:15 - 17.03.2024 18:30,-23.75,87.50
17.03.2024 18:30 - 17.03.2024 18:45,-23.75,81.25
17.03.2024 18:45 - 17.03.2024 19:00,-23.75,75.00
17.03.2024 19:00 - 17.03.2024 19:15,-23.75,68.75
17.03.2024 19:15 - 17.03.2024 19:30,-23.75,62.50
17.03.2024 19:30 - 17.03.2024 19:45,-23.75,56.25
17.03.2024 19:45 - 17.03.2024 20:00,-23.75,50.00
17.03.2024 20:00 - 17.03.2024 20:15,0.00,50.00
17.03.2024 20:15 - 17.03.2024 20:30,0.00,50.00
17.03.2024 20:30 - 17.03.2024 20:45,0.00,50.00
17.03.2024 20:45 - 17.03.2024 21:00,0.00,50.00
17.03.2024 21:00 - 17.03.2024 21:15,2.63,50.62
17.03.2024 21:15 - 17.03.2024 21:30,2.63,51.25
17.03.2024 21:30 - 17.03.2024 21:45,2.63,51.87
17.03.2024 21:45 - 17.03.2024 22:00,2.63,52.50
17.03.2024 22:00 - 17.03.2024 22:15,25.00,58.44
17.03.2024 22:15 - 17.03.2024 22:30,25.00,64.37
17.03.2024 22:30 - 17.03.2024 22:45,25.00,70.31
17.03.2024 22:45 - 17.03.2024 23:00,25.00,76.25
17.03.2024 23:00 - 17.03.2024 23:15,25.00,82.19
17.03.2024 23:15 - 17.03.2024 23:30,25.00,88.12
17.03.2024 23:30 - 17.03.2024 23:45,25.00,94.06
17.03.2024 23:45 - 18.03.2024 00:00,25.00,100.00
18.03.2024 00:00 - 18.03.2024 00:15,0.00,100.00
18.03.2024 00:15 - 18.03.2024 00:30,0.00,100.00
18.03.2024 00:30 - 18.03.2024 00:45,0.00,100.00
18.03.2024 00:45 - 18.03.2024 01:00,0.00,100.00
18.03.2024 01:00 - 18.03.2024 01:15,0.00,100.00
18.03.2024 01:15 - 18.03.2024 01:30,0.00,100.00
18.03.2024 01:30 - 18.03.2024 01:45,0.00,100.00
18.03.2024 01:45 - 18.03.2024 02:00,0.00,100.00
18.03.2024 02:00 - 18.03.2024 02:15,0.00,100.00
18.03.2024 02:15 - 18.03.2024 02:30,0.00,100.00
18.03.2024 02:30 - 18.03.2024 02:45,0.00,100.00
18.03.2024 02:45 - 18.03.2024 03:00,0.00,100.00
18.03.2024 03:00 - 18.03.2024 03:15,0.00,100.00
18.03.2024 03:15 - 18.03.2024 03:30,0.00,100.00
18.03.2024 03:30 - 18.03.2024 03:45,0.00,100.00
18.03.2024 03:45 - 18.03.2024 04:00,0.00,100.00
18.03.2024 04:00 - 18.03.2024 04:15,0.00,100.00
18.03.2024 04:15 - 18.03.2024 04:30,0.00,100.00
18.03.2024 04:30 - 18.03.2024 04:45,0.00,100.00
18.03.2024 04:45 - 18.03.2024 05:00,0.00,100.00
18.03.2024 05:00 - 18.03.2024 05:15,0.00,100.00
18.03.2024 05:15 - 18.03.2024 05:30,0.00,100.00
18.03.2024 05:30 - 18.03.2024 05:45,0.00,100.00
18.03.2024 05:45 - 18.03.2024 06:00,0.00,100.00
18.03.2024 06:00 - 18.03.2024 06:15,0.00,100.00
18.03.2024 06:15 - 18.03.2024 06:30,0.00,100.00
18.03.2024 06:30 - 18.03.2024 06:45,0.00,100.00
18.03.2024 06:45 - 18.03.2024 07:00,0.00,100.00
18.03.2024 07:00 - 18.03.2024 07:15,-22.56,94.06
18.03.2024 07:15 - 18.03.2024 07:30,-22.56,88.12
18.03.2024 07:30 - 18.03.2024 07:45,-22.56,82.19
18.03.2024 07:45 - 18.03.2024 08:00,-22.56,76.25
18.03.2024 08:00 - 18.03.2024 08:15,0.00,76.25
18.03.2024 08:15 - 18.03.2024 08:30,0.00,76.25
18.03.2024 08:30 - 18.03.2024 08:45,0.00,76.25
18.03.2024 08:45 - 18.03.2024 09:00,0.00,76.25
18.03.2024 09:00 - 18.03.2024 09:15,0.00,76.25
18.03.2024 09:15 - 18.03.2024 09:30,0.00,76.25
18.03.2024 09:30 - 18.03.2024 09:45,0.00,76.25
18.03.2024 09:45 - 18.03.2024 10:00,0.00,76.25
18.03.2024 10:00 - 18.03.2024 10:15,0.00,76.25
18.03.2024 10:15 - 18.03.2024 10:30,0.00,76.25
18.03.2024 10:30 - 18.03.2024 10:45,0.00,76.25
18.03.2024 10:45 - 18.03.2024 11:00,0.00,76.25
18.03.2024 11:00 - 18.03.2024 11:15,0.00,76.25
18.03.2024 11:15 - 18.03.2024 11:30,0.00,76.25
18.03.2024 11:30 - 18.03.2024 11:45,0.00,76.25
18.03.2024 11:45 - 18.03.2024 12:00,0.00,76.25
18.03.2024 12:00 - 18.03.2024 12:15,0.00,76.25
18.03.2024 12:15 - 18.03.2024 12:30,0.00,76.25
18.03.2024 12:30 - 18.03.2024 12:45,0.00,76.25
18.03.2024 12:45 - 18.03.2024 13:00,0.00,76.25
18.03.2024 13:00 - 18.03.2024 13:15,25.00,82.19
18.03.2024 13:15 - 18.03.2024 13:30,25.00,88.12
18.03.2024 13:30 - 18.03.2024 13:45,25.00,94.06
18.03.2024 13:45 - 18.03.2024 14:00,25.00,100.00
18.03.2024 14:00 - 18.03.2024 14:15,0.00,100.00
18.03.2024 14:15 - 18.03.2024 14:30,0.00,100.00
18.03.2024 14:30 - 18.03.2024 14:45,0.00,100.00
18.03.2024 14:45 - 18.03.2024 15:00,0.00,100.00
18.03.2024 15:00 - 18.03.2024 15:15,0.00,100.00
18.03.2024 15:15 - 18.03.2024 15:30,0.00,100.00
18.03.2024 15:30 - 18.03.2024 15:45,0.00,100.00
18.03.2024 15:45 - 18.03.2024 16:00,0.00,100.00
18.03.2024 16:00 - 18.03.2024 16:15,0.00,100.00
18.03.2024 16:15 - 18.03.2024 16:30,0.00,100.00
18.03.2024 16:30 - 18.03.2024 16:45,0.00,100.00
18.03.2024 16:45 - 18.03.2024 17:00,0.00,100.00
18.03.2024 17:00 - 18.03.2024 17:15,-23.75,93.75
18.03.2024 17:15 - 18.03.2024 17:30,-23.75,87.50
18.03.2024 17:30 - 18.03.2024 17:45,-23.75,81.25
18.03.2024 17:45 - 18.03.2024 18:00,-23.75,75.00
18.03.2024 18:00 - 18.03.2024 18:15,-23.75,68.75
18.03.2024 18:15 - 18.03.2024 18:30,-23.75,62.50
18.03.2024 18:30 - 18.03.2024 18:45,-23.75,56.25
18.03.2024 18:45 - 18.03.2024 19:00,-23.75,50.00
18.03.2024 19:00 - 18.03.2024 19:15,-23.75,43.75
18.03.2024 19:15 - 18.03.2024 19:30,-23.75,37.50
18.03.2024 19:30 - 18.03.2024 19:45,-23.75,31.25
18.03.2024 19:45 - 18.03.2024 20:00,-23.75,25.00
18.03.2024 20:00 - 18.03.2024 20:15,-23.75,18.75
18.03.2024 20:15 - 18.03.2024 20:30,-23.75,12.50
18.03.2024 20:30 - 18.03.2024 20:45,-23.75,6.25
18.03.2024 20:45 - 18.03.2024 21:00,-23.75,0.00
18.03.2024 21:00 - 18.03.2024 21:15,0.00,0.00
18.03.2024 21:15 - 18.03.2024 21:30,0.00,0.00
18.03.2024 21:30 - 18.03.2024 21:45,0.00,0.00
18.03.2024 21:45 - 18.03.2024 22:00,0.00,0.00
18.03.2024 22:00 - 18.03.2024 22:15,0.00,0.00
18.03.2024 22:15 - 18.03.2024 22:30,0.00,0.00
18.03.2024 22:30 - 18.03.2024 22:45,0.00,0.00
18.03.2024 22:45 - 18.03.2024 23:00,0.00,0.00
18.03.2024 23:00 - 18.03.2024 23:15,25.00,5.94
18.03.2024 23:15 - 18.03.2024 23:30,25.00,11.87
18.03.2024 23:30 - 18.03.2024 23:45,25.00,17.81
18.03.2024 23:45 - 19.03.2024 00:00,25.00,23.75
19.03.2024 00:00 - 19.03.2024 00:15,0.00,23.75
19.03.2024 00:15 - 19.03.2024 00:30,0.00,23.75
19.03.2024 00:30 - 19.03.2024 00:45,0.00,23.75
19.03.2024 00:45 - 19.03.2024 01:00,0.00,23.75
19.03.2024 01:00 - 19.03.2024 01:15,25.00,29.69
19.03.2024 01:15 - 19.03.2024 01:30,25.00,35.62
19.03.2024 01:30 - 19.03.2024 01:45,25.00,41.56
19.03.2024 01:45 - 19.03.2024 02:00,25.00,47.50
19.03.2024 02:00 - 19.03.2024 02:15,25.00,53.44
19.03.2024 02:15 - 19.03.2024 02:30,25.00,59.37
19.03.2024 02:30 - 19.03.2024 02:45,25.00,65.31
19.03.2024 02:45 - 19.03.2024 03:00,25.00,71.25
19.03.2024 03:00 - 19.03.2024 03:15,25.00,77.19
19.03.2024 03:15 - 19.03.2024 03:30,25.00,83.12
19.03.2024 03:30 - 19.03.2024 03:45,25.00,89.06
19.03.2024 03:45 - 19.03.2024 04:00,25.00,95.00
19.03.2024 04:00 - 19.03.2024 04:15,5.26,96.25
19.03.2024 04:15 - 19.03.2024 04:30,5.26,97.50
19.03.2024 04:30 - 19.03.2024 04:45,5.26,98.75
19.03.2024 04:45 - 19.03.2024 05:00,5.26,100.00
19.03.2024 05:00 - 19.03.2024 05:15,0.00,100.00
19.03.2024 05:15 - 19.03.2024 05:30,0.00,100.00
19.03.2024 05:30 - 19.03.2024 05:45,0.00,100.00
19.03.2024 05:45 - 19.03.2024 06:00,0.00,100.00
19.03.2024 06:00 - 19.03.2024 06:15,-23.75,93.75
19.03.2024 06:15 - 19.03.2024 06:30,-23.75,87.50
19.03.2024 06:30 - 19.03.2024 06:45,-23.75,81.25
19.03.2024 06:45 - 19.03.2024 07:00,-23.75,75.00
19.03.2024 07:00 - 19.03.2024 07:15,-23.75,68.75
19.03.2024 07:15 - 19.03.2024 07:30,-23.75,62.50
19.03.2024 07:30 - 19.03.2024 07:45,-23.75,56.25
19.03.2024 07:45 - 19.03.2024 08:00,-23.75,50.00
19.03.2024 08:00 - 19.03.2024 08:15,-23.75,43.75
19.03.2024 08:15 - 19.03.2024 08:30,-23.75,37.50
19.03.2024 08:30 - 19.03.2024 08:45,-23.75,31.25
19.03.2024 08:45 - 19.03.2024 09:00,-23.75,25.00
19.03.2024 09:00 - 19.03.2024 09:15,0.00,25.00
19.03.2024 09:15 - 19.03.2024 09:30,0.00,25.00
19.03.2024 09:30 - 19.03.2024 09:45,0.00,25.00
19.03.2024 09:45 - 19.03.2024 10:00,0.00,25.00
19.03.2024 10:00 - 19.03.2024 10:15,0.00,25.00
19.03.2024 10:15 - 19.03.2024 10:30,0.00,25.00
19.03.2024 10:30 - 19.03.2024 10:45,0.00,25.00
19.03.2024 10:45 - 19.03.2024 11:00,0.00,25.00
19.03.2024 11:00 - 19.03.2024 11:15,0.00,25.00
19.03.2024 11:15 - 19.03.2024 11:30,0.00,25.00
19.03.2024 11:30 - 19.03.2024 11:45,0.00,25.00
19.03.2024 11:45 - 19.03.2024 12:00,0.00,25.00
19.03.2024 12:00 - 19.03.2024 12:15,3.95,25.94
19.03.2024 12:15 - 19.03.2024 12:30,3.95,26.87
19.03.2024 12:30 - 19.03.2024 12:45,3.95,27.81
19.03.2024 12:45 - 19.03.2024 13:00,3.95,28.75
19.03.2024 13:00 - 19.03.2024 13:15,25.00,34.69
19.03.2024 13:15 - 19.03.2024 13:30,25.00,40.62
19.03.2024 13:30 - 19.03.2024 13:45,25.00,46.56
19.03.2024 13:45 - 19.03.2024 14:00,25.00,52.50
19.03.2024 14:00 - 19.03.2024 14:15,25.00,58.44
19.03.2024 14:15 - 19.03.2024 14:30,25.00,64.37
19.03.2024 14:30 - 19.03.2024 14:45,25.00,70.31
19.03.2024 14:45 - 19.03.2024 15:00,25.00,76.25
19.03.2024 15:00 - 19.03.2024 15:15,25.00,82.19
19.03.2024 15:15 - 19.03.2024 15:30,25.00,88.12
19.03.2024 15:30 - 19.03.2024 15:45,25.00,94.06
19.03.2024 15:45 - 19.03.2024 16:00,25.00,100.00
19.03.2024 16:00 - 19.03.2024 16:15,0.00,100.00
19.03.2024 16:15 - 19.03.2024 16:30,0.00,100.00
19.03.2024 16:30 - 19.03.2024 16:45,0.00,100.00
19.03.2024 16:45 - 19.03.2024 17:00,0.00,100.00
19.03.2024 17:00 - 19.03.2024 17:15,-23.75,93.75
19.03.2024 17:15 - 19.03.2024 17:30,-23.75,87.50
19.03.2024 17:30 - 19.03.2024 17:45,-23.75,81.25
19.03.2024 17:45 - 19.03.2024 18:00,-23.75,75.00
19.03.2024 18:00 - 19.03.2024 18:15,-23.75,68.75
19.03.2024 18:15 - 19.03.2024 18:30,-23.75,62.50
19.03.2024 18:30 - 19.03.2024 18:45,-23.75,56.25
19.03.2024 18:45 - 19.03.2024 19:00,-23.75,50.00
19.03.2024 19:00 - 19.03.2024 19:15,-23.75,43.75
19.03.2024 19:15 - 19.03.2024 19:30,-23.75,37.50
19.03.2024 19:30 - 19.03.2024 19:45,-23.75,31.25
19.03.2024 19:45 - 19.03.2024 20:00,-23.75,25.00
19.03.2024 20:00 - 19.03.2024 20:15,-23.75,18.75
19.03.2024 20:15 - 19.03.2024 20:30,-23.75,12.50
19.03.2024 20:30 - 19.03.2024 20:45,-23.75,6.25
19.03.2024 20:45 - 19.03.2024 21:00,-23.75,0.00
19.03.2024 21:00 - 19.03.2024 21:15,0.00,0.00
19.03.2024 21:15 - 19.03.2024 21:30,0.00,0.00
19.03.2024 21:30 - 19.03.2024 21:45,0.00,0.00
19.03.2024 21:45 - 19.03.2024 22:00,0.00,0.00
19.03.2024 22:00 - 19.03.2024 22:15,0.00,0.00
19.03.2024 22:15 - 19.03.2024 22:30,0.00,0.00
19.03.2024 22:30 - 19.03.2024 22:45,0.00,0.00
19.03.2024 22:45 - 19.03.2024 23:00,0.00,0.00
19.03.2024 23:00 - 19.03.2024 23:15,0.00,0.00
19.03.2024 23:15 - 19.03.2024 23:30,0.00,0.00
19.03.2024 23:30 - 19.03.2024 23:45,0.00,0.00
19.03.2024 23:45 - 20.03.2024 00:00,0.00,0.00
20.03.2024 00:00 - 20.03.2024 00:15,5.26,1.25
20.03.2024 00:15 - 20.03.2024 00:30,5.26,2.50
20.03.2024 00:30 - 20.03.2024 00:45,5.26,3.75
20.03.2024 00:45 - 20.03.2024 01:00,5.26,5.00
20.03.2024 01:00 - 20.03.2024 01:15,25.00,10.94
20.03.2024 01:15 - 20.03.2024 01:30,25.00,16.87
20.03.2024 01:30 - 20.03.2024 01:45,25.00,22.81
20.03.2024 01:45 - 20.03.2024 02:00,25.00,28.75
20.03.2024 02:00 - 20.03.2024 02:15,25.00,34.69
20.03.2024 02:15 - 20.03.2024 02:30,25.00,40.62
20.03.2024 02:30 - 20.03.2024 02:45,25.00,46.56
20.03.2024 02:45 - 20.03.2024 03:00,25.00,52.50
20.03.2024 03:00 - 20.03.2024 03:15,25.00,58.44
20.03.2024 03:15 - 20.03.2024 03:30,25.00,64.37
20.03.2024 03:30 - 20.03.2024 03:45,25.00,70.31
20.03.2024 03:45 - 20.03.2024 04:00,25.00,76.25
20.03.2024 04:00 - 20.03.2024 04:15,25.00,82.19
20.03.2024 04:15 - 20.03.2024 04:30,25.00,88.12
20.03.2024 04:30 - 20.03.2024 04:45,25.00,94.06
20.03.2024 04:45 - 20.03.2024 05:00,25.00,100.00
20.03.2024 05:00 - 20.03.2024 05:15,0.00,100.00
20.03.2024 05:15 - 20.03.2024 05:30,0.00,100.00
20.03.2024 05:30 - 20.03.2024 05:45,0.00,100.00
20.03.2024 05:45 - 20.03.2024 06:00,0.00,100.00
20.03.2024 06:00 - 20.03.2024 06:15,-23.75,93.75
20.03.2024 06:15 - 20.03.2024 06:30,-23.75,87.50
20.03.2024 06:30 - 20.03.2024 06:45,-23.75,81.25
20.03.2024 06:45 - 20.03.2024 07:00,-23.75,75.00
20.03.2024 07:00 - 20.03.2024 07:15,-23.75,68.75
20.03.2024 07:15 - 20.03.2024 07:30,-23.75,62.50
20.03.2024 07:30 - 20.03.2024 07:45,-23.75,56.25
20.03.2024 07:45 - 20.03.2024 08:00,-23.75,50.00
20.03.2024 08:00 - 20.03.2024 08:15,0.00,50.00
20.03.2024 08:15 - 20.03.2024 08:30,0.00,50.00
20.03.2024 08:30 - 20.03.2024 08:45,0.00,50.00
20.03.2024 08:45 - 20.03.2024 09:00,0.00,50.00
20.03.2024 09:00 - 20.03.2024 09:15,0.00,50.00
20.03.2024 09:15 - 20.03.2024 09:30,0.00,50.00
20.03.2024 09:30 - 20.03.2024 09:45,0.00,50.00
20.03.2024 09:45 - 20.03.2024 10:00,0.00,50.00
20.03.2024 10:00 - 20.03.2024 10:15,0.00,50.00
20.03.2024 10:15 - 20.03.2024 10:30,0.00,50.00
20.03.2024 10:30 - 20.03.2024 10:45,0.00,50.00
20.03.2024 10:45 - 20.03.2024 11:00,0.00,50.00
20.03.2024 11:00 - 20.03.2024 11:15,25.00,55.94
20.03.2024 11:15 - 20.03.2024 11:30,25.00,61.87
20.03.2024 11:30 - 20.03.2024 11:45,25.00,67.81
20.03.2024 11:45 - 20.03.2024 12:00,25.00,73.75
20.03.2024 12:00 - 20.03.2024 12:15,25.00,79.69
20.03.2024 12:15 - 20.03.2024 12:30,25.00,85.62
20.03.2024 12:30 - 20.03.2024 12:45,25.00,91.56
20.03.2024 12:45 - 20.03.2024 13:00,25.00,97.50
20.03.2024 13:00 - 20.03.2024 13:15,2.63,98.12
20.03.2024 13:15 - 20.03.2024 13:30,2.63,98.75
20.03.2024 13:30 - 20.03.2024 13:45,2.63,99.37
20.03.2024 13:45 - 20.03.2024 14:00,2.63,100.00
20.03.2024 14:00 - 20.03.2024 14:15,0.00,100.00
20.03.2024 14:15 - 20.03.2024 14:30,0.00,100.00
20.03.2024 14:30 - 20.03.2024 14:45,0.00,100.00
20.03.2024 14:45 - 20.03.2024 15:00,0.00,100.00
20.03.2024 15:00 - 20.03.2024 15:15,0.00,100.00
20.03.2024 15:15 - 20.03.2024 15:30,0.00,100.00
20.03.2024 15:30 - 20.03.2024 15:45,0.00,100.00
20.03.2024 15:45 - 20.03.2024 16:00,0.00,100.00
20.03.2024 16:00 - 20.03.2024 16:15,0.00,100.00
20.03.2024 16:15 - 20.03.2024 16:30,0.00,100.00
20.03.2024 16:30 - 20.03.2024 16:45,0.00,100.00
20.03.2024 16:45 - 20.03.2024 17:00,0.00,100.00
20.03.2024 17:00 - 20.03.2024 17:15,-23.75,93.75
20.03.2024 17:15 - 20.03.2024 17:30,-23.75,87.50
20.03.2024 17:30 - 20.03.2024 17:45,-23.75,81.25
20.03.2024 17:45 - 20.03.2024 18:00,-23.75,75.00
20.03.2024 18:00 - 20.03.2024 18:15,-23.75,68.75
20.03.2024 18:15 - 20.03.2024 18:30,-23.75,62.50
20.03.2024 18:30 - 20.03.2024 18:45,-23.75,56.25
20.03.2024 18:45 - 20.03.2024 19:00,-23.75,50.00
20.03.2024 19:00 - 20.03.2024 19:15,-23.75,43.75
20.03.2024 19:15 - 20.03.2024 19:30,-23.75,37.50
20.03.2024 19:30 - 20.03.2024 19:45,-23.75,31.25
20.03.2024 19:45 - 20.03.2024 20:00,-23.75,25.00
20.03.2024 20:00 - 20.03.2024 20:15,-23.75,18.75
20.03.2024 20:15 - 20.03.2024 20:30,-23.75,12.50
20.03.2024 20:30 - 20.03.2024 20:45,-23.75,6.25
20.03.2024 20:45 - 20.03.2024 21:00,-23.75,0.00
20.03.2024 21:00 - 20.03.2024 21:15,0.00,0.00
20.03.2024 21:15 - 20.03.2024 21:30,0.00,0.00
20.03.2024 21:30 - 20.03.2024 21:45,0.00,0.00
20.03.2024 21:45 - 20.03.2024 22:00,0.00,0.00
20.03.2024 22:00 - 20.03.2024 22:15,0.00,0.00
20.03.2024 22:15 - 20.03.2024 22:30,0.00,0.00
20.03.2024 22:30 - 20.03.2024 22:45,0.00,0.00
20.03.2024 22:45 - 20.03.2024 23:00,0.00,0.00
20.03.2024 23:00 - 20.03.2024 23:15,0.00,0.00
20.03.2024 23:15 - 20.03.2024 23:30,0.00,0.00
20.03.2024 23:30 - 20.03.2024 23:45,0.00,0.00
20.03.2024 23:45 - 21.03.2024 00:00,0.00,0.00
21.03.2024 00:00 - 21.03.2024 00:15,5.26,1.25
21.03.2024 00:15 - 21.03.2024 00:30,5.26,2.50
21.03.2024 00:30 - 21.03.2024 00:45,5.26,3.75
21.03.2024 00:45 - 21.03.2024 01:00,5.26,5.00
21.03.2024 01:00 - 21.03.2024 01:15,25.00,10.94
21.03.2024 01:15 - 21.03.2024 01:30,25.00,16.87
21.03.2024 01:30 - 21.03.2024 01:45,25.00,22.81
21.03.2024 01:45 - 21.03.2024 02:00,25.00,28.75
21.03.2024 02:00 - 21.03.2024 02:15,25.00,34.69
21.03.2024 02:15 - 21.03.2024 02:30,25.00,40.62
21.03.2024 02:30 - 21.03.2024 02:45,25.00,46.56
21.03.2024 02:45 - 21.03.2024 03:00,25.00,52.50
21.03.2024 03:00 - 21.03.2024 03:15,25.00,58.44
21.03.2024 03:15 - 21.03.2024 03:30,25.00,64.37
21.03.2024 03:30 - 21.03.2024 03:45,25.00,70.31
21.03.2024 03:45 - 21.03.2024 04:00,25.00,76.25
21.03.2024 04:00 - 21.03.2024 04:15,25.00,82.19
21.03.2024 04:15 - 21.03.2024 04:30,25.00,88.12
21.03.2024 04:30 - 21.03.2024 04:45,25.00,94.06
21.03.2024 04:45 - 21.03.2024 05:00,25.00,100.00
21.03.2024 05:00 - 21.03.2024 05:15,0.00,100.00
21.03.2024 05:15 - 21.03.2024 05:30,0.00,100.00
21.03.2024 05:30 - 21.03.2024 05:45,0.00,100.00
21.03.2024 05:45 - 21.03.2024 06:00,0.00,100.00
21.03.2024 06:00 - 21.03.2024 06:15,-23.75,93.75
21.03.2024 06:15 - 21.03.2024 06:30,-23.75,87.50
21.03.2024 06:30 - 21.03.2024 06:45,-23.75,81.25
21.03.2024 06:45 - 21.03.2024 07:00,-23.75,75.00
21.03.2024 07:00 - 21.03.2024 07:15,-20.19,69.69
21.03.2024 07:15 - 21.03.2024 07:30,-20.19,64.37
21.03.2024 07:30 - 21.03.2024 07:45,-20.19,59.06
21.03.2024 07:45 - 21.03.2024 08:00,-20.19,53.75
21.03.2024 08:00 - 21.03.2024 08:15,-23.75,47.50
21.03.2024 08:15 - 21.03.2024 08:30,-23.75,41.25
21.03.2024 08:30 - 21.03.2024 08:45,-23.75,35.00
21.03.2024 08:45 - 21.03.2024 09:00,-23.75,28.75
21.03.2024 09:00 - 21.03.2024 09:15,0.00,28.75
21.03.2024 09:15 - 21.03.2024 09:30,0.00,28.75
21.03.2024 09:30 - 21.03.2024 09:45,0.00,28.75
21.03.2024 09:45 - 21.03.2024 10:00,0.00,28.75
21.03.2024 10:00 - 21.03.2024 10:15,0.00,28.75
21.03.2024 10:15 - 21.03.2024 10:30,0.00,28.75
21.03.2024 10:30 - 21.03.2024 10:45,0.00,28.75
21.03.2024 10:45 - 21.03.2024 11:00,0.00,28.75
21.03.2024 11:00 - 21.03.2024 11:15,0.00,28.75
21.03.2024 11:15 - 21.03.2024 11:30,0.00,28.75
21.03.2024 11:30 - 21.03.2024 11:45,0.00,28.75
21.03.2024 11:45 - 21.03.2024 12:00,0.00,28.75
21.03.2024 12:00 - 21.03.2024 12:15,0.00,28.75
21.03.2024 12:15 - 21.03.2024 12:30,0.00,28.75
21.03.2024 12:30 - 21.03.2024 12:45,0.00,28.75
21.03.2024 12:45 - 21.03.2024 13:00,0.00,28.75
21.03.2024 13:00 - 21.03.2024 13:15,25.00,34.69
21.03.2024 13:15 - 21.03.2024 13:30,25.00,40.62
21.03.2024 13:30 - 21.03.2024 13:45,25.00,46.56
21.03.2024 13:45 - 21.03.2024 14:00,25.00,52.50
21.03.2024 14:00 - 21.03.2024 14:15,25.00,58.44
21.03.2024 14:15 - 21.03.2024 14:30,25.00,64.37
21.03.2024 14:30 - 21.03.2024 14:45,25.00,70.31
21.03.2024 14:45 - 21.03.2024 15:00,25.00,76.25
21.03.2024 15:00 - 21.03.2024 15:15,25.00,82.19
21.03.2024 15:15 - 21.03.2024 15:30,25.00,88.12
21.03.2024 15:30 - 21.03.2024 15:45,25.00,94.06
21.03.2024 15:45 - 21.03.2024 16:00,25.00,100.00
21.03.2024 16:00 - 21.03.2024 16:15,0.00,100.00
21.03.2024 16:15 - 21.03.2024 16:30,0.00,100.00
21.03.2024 16:30 - 21.03.2024 16:45,0.00,100.00
21.03.2024 16:45 - 21.03.2024 17:00,0.00,100.00
21.03.2024 17:00 - 21.03.2024 17:15,-23.75,93.75
21.03.2024 17:15 - 21.03.2024 17:30,-23.75,87.50
21.03.2024 17:30 - 21.03.2024 17:45,-23.75,81.25
21.03.2024 17:45 - 21.03.2024 18:00,-23.75,75.00
21.03.2024 18:00 - 21.03.2024 18:15,-23.75,68.75
21.03.2024 18:15 - 21.03.2024 18:30,-23.75,62.50
21.03.2024 18:30 - 21.03.2024 18:45,-23.75,56.25
21.03.2024 18:45 - 21.03.2024 19:00,-23.75,50.00
21.03.2024 19:00 - 21.03.2024 19:15,-23.75,43.75
21.03.2024 19:15 - 21.03.2024 19:30,-23.75,37.50
21.03.2024 19:30 - 21.03.2024 19:45,-23.75,31.25
21.03.2024 19:45 - 21.03.2024 20:00,-23.75,25.00
21.03.2024 20:00 - 21.03.2024 20:15,-23.75,18.75
21.03.2024 20:15 - 21.03.2024 20:30,-23.75,12.50
21.03.2024 20:30 - 21.03.2024 20:45,-23.75,6.25
21.03.2024 20:45 - 21.03.2024 21:00,-23.75,0.00
21.03.2024 21:00 - 21.03.2024 21:15,0.00,0.00
21.03.2024 21:15 - 21.03.2024 21:30,0.00,0.00
21.03.2024 21:30 - 21.03.2024 21:45,0.00,0.00
21.03.2024 21:45 - 21.03.2024 22:00,0.00,0.00
21.03.2024 22:00 - 21.03.2024 22:15,0.00,0.00
21.03.2024 22:15 - 21.03.2024 22:30,0.00,0.00
21.03.2024 22:30 - 21.03.2024 22:45,0.00,0.00
21.03.2024 22:45 - 21.03.2024 23:00,0.00,0.00
21.03.2024 23:00 - 21.03.2024 23:15,25.00,5.94
21.03.2024 23:15 - 21.03.2024 23:30,25.00,11.87
21.03.2024 23:30 - 21.03.2024 23:45,25.00,17.81
21.03.2024 23:45 - 22.03.2024 00:00,25.00,23.75
22.03.2024 00:00 - 22.03.2024 00:15,25.00,29.69
22.03.2024 00:15 - 22.03.2024 00:30,25.00,35.62
22.03.2024 00:30 - 22.03.2024 00:45,25.00,41.56
22.03.2024 00:45 - 22.03.2024 01:00,25.00,47.50
22.03.2024 01:00 - 22.03.2024 01:15,0.00,47.50
22.03.2024 01:15 - 22.03.2024 01:30,0.00,47.50
22.03.2024 01:30 - 22.03.2024 01:45,0.00,47.50
22.03.2024 01:45 - 22.03.2024 02:00,0.00,47.50
